x,y,radiation
-1.7764e-15,1.4211e-14,3.76
-1.7764e-15,0.5011,3.24
0.0,1.0022,3.22
0.0,1.5032,3.10
0.0,2.0043,-1
0.0,2.5054,-1
0.0,3.0065,3.04
0.0,3.5076,3.08
0.0,4.0086,3.13
0.0,4.5097,3.09
0.0,5.0108,3.08
0.0,5.5119,3.06
0.0,6.013,3.09
0.0,6.514,3.05
0.0,7.0151,3.05
0.0,7.5162,3.08
0.0,8.0173,3.06
0.0,8.5183,3.06
0.0,9.0194,3.08
0.0,9.5205,3.08
0.0,10.0216,3.10
0.0,10.5227,3.05
0.0,11.0237,3.10
0.0,11.5248,3.02
0.0,12.0259,3.03
0.0,12.527,3.04
0.0,13.0281,3.06
0.0,13.5291,3.02
0.0,14.0302,3.06
0.0,14.5313,3.06
0.0,15.0324,3.05
0.0,15.5335,3.05
0.0,16.0345,3.07
0.0,16.5356,3.08
0.0,17.0367,3.02
0.0,17.5378,3.00
0.0,18.0389,3.01
0.0,18.5399,2.94
0.0,19.041,2.91
0.0,19.5421,2.93
0.0,20.0432,2.98
0.0,20.5442,2.93
0.0,21.0453,2.92
0.0,21.5464,2.90
0.0,22.0475,2.85
0.0,22.5486,2.82
0.0,23.0496,2.80
0.0,23.5507,2.74
0.0,24.0518,2.68
0.0,24.5529,2.55
0.0001,25.054,2.47
0.0,25.555,2.34
0.0001,26.0561,2.18
0.0001,26.5572,2.03
0.0001,27.0583,1.85
0.0001,27.5594,1.58
-0.5012,0.0,4.36
-0.5012,0.5011,3.95
-0.5012,1.0022,3.70
-0.5012,1.5032,3.60
-0.5012,2.0043,3.56
-0.5012,2.5054,3.61
-0.5012,3.0065,3.57
-0.5012,3.5076,3.56
-0.5012,4.0086,3.50
-0.5012,4.5097,3.47
-0.5012,5.0108,3.50
-0.5012,5.5119,3.44
-0.5012,6.013,3.52
-0.5012,6.514,3.49
-0.5012,7.0151,3.46
-0.5012,7.5162,3.50
-0.5012,8.0173,3.48
-0.5012,8.5183,3.44
-0.5012,9.0194,3.44
-0.5012,9.5205,3.48
-0.5012,10.0216,3.50
-0.5012,10.5227,3.42
-0.5012,11.0237,3.47
-0.5012,11.5248,3.47
-0.5012,12.0259,3.49
-0.5012,12.527,3.46
-0.5012,13.0281,3.45
-0.5012,13.5291,3.42
-0.5012,14.0302,3.41
-0.5012,14.5313,3.46
-0.5012,15.0324,3.41
-0.5012,15.5335,3.42
-0.5012,16.0345,3.46
-0.5012,16.5356,3.41
-0.5012,17.0367,3.38
-0.5012,17.5378,3.41
-0.5012,18.0389,3.37
-0.5012,18.5399,3.31
-0.5012,19.041,3.32
-0.5012,19.5421,3.33
-0.5012,20.0432,3.29
-0.5012,20.5442,3.28
-0.5012,21.0453,3.25
-0.5012,21.5464,3.23
-0.5012,22.0475,3.15
-0.5012,22.5486,3.13
-0.5012,23.0496,3.15
-0.5012,23.5507,3.09
-0.5012,24.0518,3.04
-0.5012,24.5529,2.98
-0.5012,25.054,2.84
-0.5012,25.555,2.67
-0.5012,26.0561,2.54
-0.5012,26.5572,2.28
-0.5012,27.0583,2.13
-0.5012,27.5594,1.77
-1.0024,0.0,4.53
-1.0024,0.5011,4.36
-1.0024,1.0022,4.21
-1.0024,1.5032,3.95
-1.0024,2.0043,3.87
-1.0024,2.5054,3.88
-1.0024,3.0065,3.79
-1.0024,3.5076,3.77
-1.0024,4.0086,3.81
-1.0024,4.5097,3.86
-1.0024,5.0108,3.82
-1.0024,5.5119,3.81
-1.0024,6.013,3.84
-1.0024,6.514,3.83
-1.0024,7.0151,3.79
-1.0024,7.5162,3.77
-1.0024,8.0173,3.84
-1.0024,8.5183,3.82
-1.0024,9.0194,3.81
-1.0024,9.5205,3.80
-1.0024,10.0216,3.74
-1.0024,10.5227,3.73
-1.0024,11.0237,3.80
-1.0024,11.5248,3.79
-1.0024,12.0259,3.80
-1.0024,12.527,3.76
-1.0024,13.0281,3.75
-1.0024,13.5291,3.74
-1.0024,14.0302,3.73
-1.0024,14.5313,3.75
-1.0024,15.0324,3.73
-1.0024,15.5335,3.75
-1.0024,16.0345,3.74
-1.0024,16.5356,3.71
-1.0024,17.0367,3.69
-1.0024,17.5378,3.67
-1.0024,18.0389,3.65
-1.0024,18.5399,3.63
-1.0024,19.041,3.62
-1.0024,19.5421,3.60
-1.0024,20.0432,3.59
-1.0024,20.5442,3.51
-1.0024,21.0453,3.58
-1.0024,21.5464,3.51
-1.0024,22.0475,3.50
-1.0024,22.5486,3.50
-1.0024,23.0496,3.46
-1.0024,23.5507,3.38
-1.0024,24.0518,3.37
-1.0024,24.5529,3.19
-1.0024,25.054,3.12
-1.0024,25.555,2.95
-1.0024,26.0561,2.77
-1.0024,26.5572,2.57
-1.0024,27.0583,2.35
-1.0024,27.5594,2.04
-1.5037,0.0,4.64
-1.5037,0.5011,4.58
-1.5037,1.0022,4.39
-1.5037,1.5032,4.28
-1.5037,2.0043,4.27
-1.5037,2.5054,4.18
-1.5037,3.0065,4.16
-1.5037,3.5076,4.12
-1.5036,4.0086,4.12
-1.5036,4.5097,4.10
-1.5036,5.0108,4.03
-1.5036,5.5119,4.03
-1.5036,6.013,4.07
-1.5036,6.514,4.06
-1.5036,7.0151,4.14
-1.5036,7.5162,4.12
-1.5036,8.0173,4.05
-1.5036,8.5184,4.04
-1.5036,9.0194,4.04
-1.5036,9.5205,4.03
-1.5036,10.0216,4.01
-1.5036,10.5227,3.99
-1.5036,11.0237,4.10
-1.5036,11.5248,4.09
-1.5036,12.0259,3.98
-1.5036,12.527,3.97
-1.5036,13.0281,4.06
-1.5036,13.5291,4.05
-1.5036,14.0302,3.97
-1.5036,14.5313,3.97
-1.5036,15.0324,3.95
-1.5036,15.5335,3.93
-1.5036,16.0345,3.98
-1.5036,16.5356,3.96
-1.5036,17.0367,4.01
-1.5036,17.5378,3.99
-1.5036,18.0389,3.96
-1.5036,18.5399,3.92
-1.5036,19.041,3.90
-1.5036,19.5421,3.87
-1.5036,20.0432,3.89
-1.5036,20.5443,3.86
-1.5036,21.0453,3.74
-1.5036,21.5464,3.73
-1.5036,22.0475,3.77
-1.5036,22.5486,3.80
-1.5036,23.0496,3.69
-1.5036,23.5507,3.60
-1.5036,24.0518,3.53
-1.5036,24.5529,3.45
-1.5036,25.054,3.34
-1.5036,25.555,3.17
-1.5036,26.0561,3.01
-1.5036,26.5572,2.85
-1.5036,27.0583,2.54
-1.5036,27.5594,2.18
-2.0049,0.0,4.82
-2.0049,0.5011,4.67
-2.0049,1.0022,4.62
-2.0049,1.5032,4.56
-2.0049,2.0043,4.47
-2.0049,2.5054,4.32
-2.0049,3.0065,4.35
-2.0049,3.5076,4.26
-2.0049,4.0086,4.33
-2.0049,4.5097,4.31
-2.0049,5.0108,4.29
-2.0049,5.5119,4.28
-2.0049,6.013,4.25
-2.0049,6.514,4.25
-2.0049,7.0151,4.31
-2.0049,7.5162,4.24
-2.0049,8.0173,4.22
-2.0049,8.5184,4.25
-2.0049,9.0194,4.24
-2.0049,9.5205,4.25
-2.0049,10.0216,4.24
-2.0049,10.5227,4.24
-2.0049,11.0237,4.23
-2.0049,11.5248,4.31
-2.0049,12.0259,4.30
-2.0049,12.527,4.26
-2.0049,13.0281,4.25
-2.0049,13.5291,4.24
-2.0048,14.0302,4.23
-2.0048,14.5313,4.19
-2.0048,15.0324,4.18
-2.0048,15.5335,4.17
-2.0048,16.0345,4.15
-2.0048,16.5356,4.22
-2.0048,17.0367,4.20
-2.0048,17.5378,4.17
-2.0048,18.0389,4.15
-2.0048,18.5399,4.12
-2.0048,19.041,4.09
-2.0048,19.5421,4.10
-2.0048,20.0432,4.09
-2.0048,20.5443,4.01
-2.0048,21.0453,4.00
-2.0048,21.5464,3.98
-2.0048,22.0475,3.98
-2.0048,22.5486,3.94
-2.0048,23.0496,3.89
-2.0048,23.5507,3.82
-2.0048,24.0518,3.79
-2.0048,24.5529,3.65
-2.0048,25.054,3.53
-2.0048,25.555,3.37
-2.0048,26.0561,3.11
-2.0048,26.5572,2.92
-2.0048,27.0583,2.65
-2.0048,27.5594,2.39
-2.5061,0.0,4.82
-2.5061,0.5011,4.84
-2.5061,1.0022,4.70
-2.5061,1.5032,4.73
-2.5061,2.0043,4.68
