x,y,radiation
1.7764e-15,0.0,0.26
1.7764e-15,3.0,0.14
-5.3291e-15,6.0,0.15
0.0,9.0,0.19
0.0,12.0,0.02
-3.5527e-15,15.0,0.01
-1.7764e-15,18.0,0.00
-3.5527e-15,21.0,0.00
-1.7764e-15,24.0,0.00
3.0,0.0,0.18
3.0,3.0,0.03
3.0,6.0,0.04
3.0,9.0,0.05
3.0,12.0,0.03
3.0,15.0,0.02
3.0,18.0,0.00
3.0,21.0,0.00
3.0,24.0,0.00
6.0,0.0,0.18
6.0,3.0,0.00
6.0,6.0,0.00
6.0,9.0,0.04
6.0,12.0,0.04
6.0,15.0,0.00
6.0,18.0,0.00
6.0,21.0,0.04
6.0,24.0,0.00
9.0,-1.4211e-14,0.12
9.0,3.0,0.03
9.0,6.0,0.01
9.0,9.0,0.00
9.0,12.0,0.04
9.0,15.0,0.00
9.0,18.0,0.00
9.0,21.0,0.00
9.0,24.0,0.00
12.0,-1.4211e-14,0.18
12.0,3.0,0.05
12.0,6.0,0.04
12.0,9.0,0.00
12.0,12.0,0.00
12.0,15.0,0.00
12.0,18.0,0.00
12.0,21.0,0.00
12.0,24.0,0.00
15.0,0.0,0.14
15.0,3.0,0.03
15.0,6.0,0.00
15.0,9.0,0.01
15.0,12.0,0.00
15.0,15.0,0.01
15.0,18.0,0.00
15.0,21.0,0.03
15.0,24.0,0.00
18.0,0.0,0.13
18.0,3.0,0.01
18.0,6.0,0.00
18.0,9.0,0.00
18.0,12.0,0.00
18.0,15.0,0.00
18.0,18.0,0.03
18.0,21.0,0.00
18.0,24.0,0.00
21.0,-7.1054e-15,0.07
21.0,3.0,0.03
21.0,6.0,0.04
21.0,9.0,0.02
21.0,12.0,0.03
21.0,15.0,0.00
21.0,18.0,0.00
21.0,21.0,0.00
21.0,24.0,0.00
24.0,-1.4211e-14,0.10
24.0,3.0,0.00
24.0,6.0,0.06
24.0,9.0,0.00
24.0,12.0,0.00
24.0,15.0,0.00
24.0,18.0,0.00
24.0,21.0,0.00
24.0,24.0,0.00
27.0,0.0,0.21
27.0,3.0,0.01
27.0,6.0,0.04
27.0,9.0,0.01
27.0,12.0,0.00
27.0,15.0,0.00
27.0,18.0,0.00
27.0,21.0,0.00
27.0,24.0,0.00
30.0,-1.4211e-14,0.06
30.0,3.0,0.02
30.0,6.0,0.02
30.0,9.0,0.00
30.0,12.0,0.00
30.0,15.0,0.01
30.0,18.0,0.00
30.0,21.0,0.00
30.0,24.0,0.00
33.0,-1.4211e-14,0.12
33.0,3.0,0.08
33.0,6.0,0.02
33.0,9.0,0.00
33.0,12.0,0.00
33.0,15.0,0.00
33.0,18.0,0.02
33.0,21.0,0.01
33.0,24.0,0.00
36.0,-1.4211e-14,0.23
36.0,3.0,0.02
36.0,6.0,0.02
36.0,9.0,0.02
36.0,12.0,0.00
36.0,15.0,0.00
36.0,18.0,0.00
36.0,21.0,0.01
36.0,24.0,0.00
39.0,-1.4211e-14,0.22
39.0,3.0,0.06
39.0,6.0,0.03
39.0,9.0,0.00
39.0,12.0,0.00
39.0,15.0,0.00
39.0,18.0,0.03
39.0,21.0,0.00
39.0,24.0,0.00
42.0,-7.1054e-15,-1.0
42.0,3.0,-1.0
42.0,6.0,-1.0
42.0,9.0,-1.0
42.0,12.0,0.00
42.0,15.0,0.02
